"","HHSIZE","URBAN","[0-4]","(4,17]","(17,49]","(49,64]","(64,100]"
"30005467",1,1,0,0,0,0,1
"30005470",2,1,0,0,2,0,0
"30005475",2,1,0,0,2,0,0
"30005484",2,2,0,0,2,0,0
"30005490",2,1,0,0,0,0,2
"30005504",2,1,0,0,0,2,0
"30005513",2,2,0,0,2,0,0
"30005526",4,1,0,0,3,1,0
"30005535",1,1,0,0,1,0,0
"30005537",2,1,0,0,0,0,2
"30005550",2,1,0,0,0,2,0
"30005563",1,4,0,0,0,1,0
"30005565",1,4,0,0,1,0,0
"30005574",1,2,0,0,0,0,1
"30005590",2,1,0,0,0,2,0
"30005593",1,1,0,0,1,0,0
"30005596",2,4,0,0,0,2,0
"30005609",4,1,0,0,2,1,1
"30005615",2,1,0,0,0,0,2
"30005619",2,1,0,0,1,0,1
"30005626",1,1,0,0,1,0,0
"30005637",2,4,0,0,0,0,2
"30005638",1,1,0,0,1,0,0
"30005649",1,1,0,0,0,0,1
"30005654",1,1,0,0,0,0,1
"30005679",1,4,0,0,0,1,0
"30005689",2,1,0,0,0,0,2
"30005693",1,1,0,0,0,1,0
"30005703",1,1,0,0,0,1,0
"30005712",1,4,0,0,0,1,0
"30005713",1,1,0,0,0,0,1
"30005716",4,1,0,1,2,1,0
"30005728",1,1,0,0,0,0,1
"30005748",1,1,0,0,0,0,1
"30005756",2,1,0,0,0,0,2
"30005759",2,1,0,0,2,0,0
"30005767",1,4,0,0,0,0,1
"30005789",1,1,0,0,0,1,0
"30005792",2,1,0,0,1,1,0
"30005796",2,1,0,0,1,1,0
"30005802",3,4,0,0,1,0,2
"30005808",1,1,0,0,0,1,0
"30005811",2,1,0,0,0,0,2
"30005812",2,1,0,0,2,0,0
"30005820",2,1,0,0,0,0,2
"30005839",4,4,1,1,2,0,0
"30005849",1,1,0,0,1,0,0
"30005852",3,1,0,0,1,2,0
"30005855",3,1,0,0,1,2,0
"30005865",1,1,0,0,0,0,1
"30005868",1,1,0,0,1,0,0
"30005873",1,4,0,0,0,0,1
"30005874",1,1,0,0,0,1,0
"30005883",4,1,0,2,2,0,0
"30005888",1,1,0,0,0,0,1
"30005899",2,1,1,0,1,0,0
"30005903",2,1,0,0,2,0,0
"30005904",1,1,0,0,0,1,0
"30005921",3,1,0,2,1,0,0
"30005927",3,1,0,1,2,0,0
"30005936",1,1,0,0,1,0,0
"30005942",3,4,0,1,0,0,2
"30005945",1,4,0,0,1,0,0
"30005957",1,1,0,0,0,1,0
"30005960",2,1,0,0,0,2,0
"30005964",1,2,0,0,0,1,0
"30005967",2,2,0,0,0,2,0
"30005995",2,2,0,0,2,0,0
"30006010",3,1,0,0,1,0,2
"30006017",4,4,1,1,2,0,0
"30006022",2,1,0,0,0,2,0
"30006029",1,1,0,0,0,0,1
"30006031",3,1,0,0,1,2,0
"30006037",2,1,0,0,0,1,1
"30006042",2,1,0,0,2,0,0
